"coin_name","coin_url","coin_price","coin_volume"
"Bitcoin","https://www.coingecko.com/tr/coins/bitcoin","$16.578,65","$15.234.227.537"
"Ethereum","https://www.coingecko.com/tr/coins/ethereum","$1.171,56","$3.916.727.830"
"Tether","https://www.coingecko.com/tr/coins/tether","$1,00","$19.552.081.334"
"USD Coin","https://www.coingecko.com/tr/coins/usd-coin","$1,00","$1.482.009.304"
"BNB","https://www.coingecko.com/tr/coins/bnb","$243,24","$972.434.920"
"Binance USD","https://www.coingecko.com/tr/coins/binance-usd","$0,999832","$4.471.236.940"
"XRP","https://www.coingecko.com/tr/coins/xrp","$0,337689","$956.868.174"
"Dogecoin","https://www.coingecko.com/tr/coins/dogecoin","$0,074894503441","$526.375.920"
"Cardano","https://www.coingecko.com/tr/coins/cardano","$0,257009","$193.527.429"
"Polygon","https://www.coingecko.com/tr/coins/polygon","$0,775984","$321.497.594"
"Lido Staked Ether","https://www.coingecko.com/tr/coins/lido-staked-ether","$1.155,06","$19.008.108"
"OKB","https://www.coingecko.com/tr/coins/okb","$21,52","$20.314.053"
"Polkadot","https://www.coingecko.com/tr/coins/polkadot","$4,53","$141.601.732"
"Dai","https://www.coingecko.com/tr/coins/dai","$0,999544","$130.700.081"
"Shiba Inu","https://www.coingecko.com/tr/coins/shiba-inu","$0,000008544147","$190.200.289"
"TRON","https://www.coingecko.com/tr/coins/tron","$0,053837706192","$208.839.692"
"Litecoin","https://www.coingecko.com/tr/coins/litecoin","$62,12","$443.254.877"
"Solana","https://www.coingecko.com/tr/coins/solana","$12,04","$213.804.089"
"Uniswap","https://www.coingecko.com/tr/coins/uniswap","$5,17","$52.956.579"
"Avalanche","https://www.coingecko.com/tr/coins/avalanche","$11,73","$118.762.008"
"LEO Token","https://www.coingecko.com/tr/coins/leo-token","$3,77","$974.503"
"Toncoin","https://www.coingecko.com/tr/coins/toncoin","$2,32","$47.839.852"
"Wrapped Bitcoin","https://www.coingecko.com/tr/coins/wrapped-bitcoin","$16.532,39","$76.850.336"
"Chainlink","https://www.coingecko.com/tr/coins/chainlink","$5,92","$181.165.470"
"Monero","https://www.coingecko.com/tr/coins/monero","$144,83","$63.088.540"
"Cosmos Hub","https://www.coingecko.com/tr/coins/cosmos-hub","$8,74","$83.647.944"
"Ethereum Classic","https://www.coingecko.com/tr/coins/ethereum-classic","$15,56","$94.258.591"
"Stellar","https://www.coingecko.com/tr/coins/stellar","$0,075542532279","$34.299.509"
"Bitcoin Cash","https://www.coingecko.com/tr/coins/bitcoin-cash","$99,97","$381.240.585"
"Quant","https://www.coingecko.com/tr/coins/quant","$107,42","$27.408.517"
"Cronos","https://www.coingecko.com/tr/coins/cronos","$0,056404502214","$11.983.069"
"Algorand","https://www.coingecko.com/tr/coins/algorand","$0,177829","$64.130.588"
"ApeCoin","https://www.coingecko.com/tr/coins/apecoin","$3,48","$103.107.851"
"VeChain","https://www.coingecko.com/tr/coins/vechain","$0,016171186210","$36.458.461"
"NEAR Protocol","https://www.coingecko.com/tr/coins/near","$1,31","$71.434.911"
"Hedera","https://www.coingecko.com/tr/coins/hedera","$0,042533986521","$11.607.007"
"Frax","https://www.coingecko.com/tr/coins/frax","$0,999641","$3.678.247"
"Internet Computer","https://www.coingecko.com/tr/coins/internet-computer","$3,59","$15.335.525"
"Filecoin","https://www.coingecko.com/tr/coins/filecoin","$2,88","$109.366.720"
"EOS","https://www.coingecko.com/tr/coins/eos","$0,864796","$116.133.946"
"MultiversX (Elrond)","https://www.coingecko.com/tr/coins/multiversx","$37,70","$15.452.564"
"Huobi","https://www.coingecko.com/tr/coins/huobi-token","$5,31","$9.261.923"
"Bitcoin SV","https://www.coingecko.com/tr/coins/bitcoin-sv","$45,06","$12.927.674"
"Pax Dollar","https://www.coingecko.com/tr/coins/pax-dollar","$1,00","$1.475.567"
"Lido DAO","https://www.coingecko.com/tr/coins/lido-dao","$0,972032","$6.002.343"
"Terra","https://www.coingecko.com/tr/coins/terra-luna","$0,000134505791","$56.746.176"
"Axie Infinity","https://www.coingecko.com/tr/coins/axie-infinity","$6,90","$62.281.844"
"Aave","https://www.coingecko.com/tr/coins/aave","$54,61","$38.315.843"
"Flow","https://www.coingecko.com/tr/coins/flow","$0,748424","$15.981.615"
"TrueUSD","https://www.coingecko.com/tr/coins/true-usd","$1,00","$21.413.642"
"Theta Network","https://www.coingecko.com/tr/coins/theta-network","$0,752601","$11.144.375"
"Tezos","https://www.coingecko.com/tr/coins/tezos","$0,813451","$17.859.545"
"USDD","https://www.coingecko.com/tr/coins/usdd","$0,980393","$21.687.165"
"The Sandbox","https://www.coingecko.com/tr/coins/the-sandbox","$0,445693","$87.458.302"
"Trust Wallet","https://www.coingecko.com/tr/coins/trust-wallet-token","$1,51","$81.001.437"
"KuCoin","https://www.coingecko.com/tr/coins/kucoin-shares","$6,38","$431.817"
"BitTorrent","https://www.coingecko.com/tr/coins/bittorrent","$0,000000629995","$4.927.822"
"Chiliz","https://www.coingecko.com/tr/coins/chiliz","$0,111691","$144.851.271"
"Gemini Dollar","https://www.coingecko.com/tr/coins/gemini-dollar","$1,00","$527.130"
"cUSDC","https://www.coingecko.com/tr/coins/compound-usd-coin","$0,022706785061","$462,64"
"WhiteBIT Token","https://www.coingecko.com/tr/coins/whitebit","$4,38","$5.174.251"
"Decentraland","https://www.coingecko.com/tr/coins/decentraland","$0,312867","$61.916.279"
"Zcash","https://www.coingecko.com/tr/coins/zcash","$42,06","$42.082.267"
"PancakeSwap","https://www.coingecko.com/tr/coins/pancakeswap","$3,37","$29.323.250"
"Aptos","https://www.coingecko.com/tr/coins/aptos","$3,99","$44.741.681"
"Fantom","https://www.coingecko.com/tr/coins/fantom","$0,204560","$66.373.221"
"Tokenize Xchange","https://www.coingecko.com/tr/coins/tokenize-xchange","$6,40","$17.914.192"
"Chain","https://www.coingecko.com/tr/coins/chain","$0,023866502237","$4.042.279"
"Gate","https://www.coingecko.com/tr/coins/gatetoken","$3,37","$1.733.619"
"PAX Gold","https://www.coingecko.com/tr/coins/pax-gold","$1.790,35","$6.009.644"
"Maker","https://www.coingecko.com/tr/coins/maker","$535,34","$9.861.438"
"Klaytn","https://www.coingecko.com/tr/coins/klaytn","$0,153629","$16.413.905"
"Dash","https://www.coingecko.com/tr/coins/dash","$42,16","$33.850.845"
"eCash","https://www.coingecko.com/tr/coins/ecash","$0,000024207633","$3.869.204"
"NEO","https://www.coingecko.com/tr/coins/neo","$6,45","$15.631.207"
"IOTA","https://www.coingecko.com/tr/coins/iota","$0,163701","$7.740.771"
"Tether Gold","https://www.coingecko.com/tr/coins/tether-gold","$1.734,69","$535.532"
"The Graph","https://www.coingecko.com/tr/coins/the-graph","$0,056037234431","$15.006.875"
"cDAI","https://www.coingecko.com/tr/coins/compound-dai","$0,022116586133","$492,13"
"OKC","https://www.coingecko.com/tr/coins/okc-token","$22,25","$5.337.793"
"THORChain","https://www.coingecko.com/tr/coins/thorchain","$1,32","$40.827.875"
"cETH","https://www.coingecko.com/tr/coins/compound-ether","$23,63","$103,70"
"Synthetix Network","https://www.coingecko.com/tr/coins/synthetix-network-token","$1,58","$23.042.535"
"Osmosis","https://www.coingecko.com/tr/coins/osmosis","$0,757152","$8.430.257"
"Arweave","https://www.coingecko.com/tr/coins/arweave","$7,51","$10.281.461"
"Frax Share","https://www.coingecko.com/tr/coins/frax-share","$5,14","$2.462.407"
"Mina Protocol","https://www.coingecko.com/tr/coins/mina-protocol","$0,464764","$8.730.475"
"GMX","https://www.coingecko.com/tr/coins/gmx","$42,64","$13.322.038"
"Curve DAO","https://www.coingecko.com/tr/coins/curve-dao-token","$0,546882","$39.038.109"
"Rocket Pool","https://www.coingecko.com/tr/coins/rocket-pool","$18,65","$1.005.987"
"NEXO","https://www.coingecko.com/tr/coins/nexo","$0,632413","$3.331.112"
"XDC Network","https://www.coingecko.com/tr/coins/xdc-network","$0,025413728534","$4.171.761"
"Radix","https://www.coingecko.com/tr/coins/radix","$0,034636374586","$338.618"
"BTSE Token","https://www.coingecko.com/tr/coins/btse-token","$2,09","$3.217,20"
"EthereumPoW","https://www.coingecko.com/tr/coins/ethereumpow","$3,03","$4.695.062"
"ImmutableX","https://www.coingecko.com/tr/coins/immutablex","$0,429754","$6.647.420"
"Stacks","https://www.coingecko.com/tr/coins/stacks","$0,228455","$4.619.187"
"Zilliqa","https://www.coingecko.com/tr/coins/zilliqa","$0,018011349207","$19.147.262"
"BitDAO","https://www.coingecko.com/tr/coins/bitdao","$0,282183","$5.920.766"
"1inch","https://www.coingecko.com/tr/coins/1inch","$0,394641","$13.223.196"
